company_name,job_location,job_title,job_description,job_url
Visa,Jakarta Metropolitan Area,"Manager, Data Scientist ","About the job
Visa is a world leader in payments and technology, with over 259 billion payments transactions flowing safely between consumers, merchants, financial institutions, and government entities in more than 200 countries and territories each year. Our mission is to connect the world through the most innovative, convenient, reliable, and secure payments network, enabling individuals, businesses, and economies to thrive while driven by a common purpose – to uplift everyone, everywhere by being the best way to pay and be paid.

Make an impact with a purpose-driven industry leader. Join us today and experience Life at Visa.



Job Description

Lead, execute and deliver data science engagements for Indonesia clients

Define detailed scope and methodology, design and create solutions, execute on frameworks leveraging appropriate tools and techniques

Prepare and deliver presentations to clients, effectively communicating insights, recommendations, and the value of data science solutions

Build strong relationships with Visa partners and clients, and corresponding data science/analytics teams to drive collaboration and implementation of Visa recommendations, track impact

Ensure consistency, standards & quality control of data science work, with all project documentation up to date

Actively seek out opportunities to innovate by using Visa’s data, client’s data and non-traditional data fit for purpose to the needs of our clients

Enhance existing data science techniques by promoting new methodologies and best practices in the field

Promote thought leadership in the data science domain and build intellectual property through innovation

Effectively interact with clients and manage internal/external stakeholder communication

Mentor, guide and supervise data scientists in the project team

This is a hybrid position. Expectation of days in office will be confirmed by your hiring manager.



Qualifications

Basic Qualifications

Degree (Masters or Ph.D. would be an advantage) in Quantitative field such as Statistics, Mathematics, Physics, Computer Science, Economics, or engineering or equivalent experience
Preferred Qualifications

Minimum 8 years of professional work experience preferably in banking, payments, fintech, or a related industry. 
Hands-on experience with data analytics/programming tools such as Python, R and advanced skills in querying using SQL or other query languages. 
Hands-on experience working in Big Data ecosystems such as Hadoop, Spark, Hive, Kafka, GCP, AWS, and Azure. Experience with both on-prem and cloud environments is a plus. 
Hands-on experience with BI tools such as Power BI and Tableau. 
Proficiency in statistical techniques such as Neural Networks, Gradient Boosting, Linear & Logistic Regression, Decision Trees, Random Forests, Markov Chains, Support Vector Machines, Clustering, Principal Component Analysis, Factor analysis, etc. 
Demonstrated experience in planning, organizing, and managing multiple and concurrent analytics projects with diverse cross-functional stakeholders
Strong internal team and external client stakeholder management with a collaborative, diplomatic, and flexible style. Able to work effectively in a matrixed organization
Excellent presentation and storytelling skills, including strong oral and written capabilities
Storyboarding and data storytelling including strong Excel and PowerPoint skills
In-market experience and/or knowledge of local language, culture as well as industry regulations

Additional Information

Visa is an EEO Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.",https://www.linkedin.com/jobs/search/?currentJobId=4334523598&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
International Workplace Group plc,"Jakarta, Jakarta, Indonesia",Partnership Sales Manager/Director - Jakarta ,"About the job
Partnership Sales Manager

External Title: Partnership Sales Director

Internal Title: Partnership Sales Manager

Are you ready to lead the charge and be at the forefront of our ambitious global expansion? Is hunting, pitching and prospecting second nature to you? Can you confidently agree high-value commercial deals with building owners? Is business development in your blood? And are you relentless in your pursuit of delivering results, with the determination and resilience to change the world of work?

If yes, we need to talk.

What We Can Do For You

You’re reading the right ad if you’re looking for:

The most exciting growth opportunity in the world, where you’ll be challenged every day
Excellent training, development and promotion opportunities
A fantastic incentive scheme which can see you earn great commission and prizes.


We know we can only succeed if we give all our people every opportunity to shine. It’s why so many of our most senior leaders started their careers in our centres. And it’s what made IWG the dominant global leader in the flexible-workspace industry.

About IWG

IWG is the world’s leading flexible workspace provider - with the world’s most ambitious growth programme to open 30,000+ new centres over the next decade to complement our international network of 4,000+ tech-enabled, sustainable and inspiring flexible work centres. Across our multiple brands, including Regus, Spaces, HQ and Signature, we’re provide world-beating workplace solutions to over 80% of Fortune 500 companies, including Netflix, EY, Amazon and Uber, as well as to local small start-ups, entrepreneurs and emerging businesses.

About You

You’ll need to be passionate about working in a high-growth sector and ready to play a leading role in disrupting the commercial real-estate industry. You’ll excel at growing your network rapidly and taking our proposition to them. And you’ll thrive on initiating and closing multiple high-value deals at pace driven by your tenacity and expertise.

Whether pursuing your own leads or following up on centrally-driven enquiries, you’ll highlight what makes an IWG partnership so special. By ensuring prospective partners fully understand the value of our proposition, you’ll be doing much more than simply meeting sales targets. And thanks to your outstanding communications skills - primarily in your local language but also with a good level of English - you’ll be able to present a truly compelling narrative to large and small audiences alike.

Most importantly though, you’ll have the right, can-do mindset: passion, curiosity, pride, drive and ownership. We’ll look after the rest.

What You’ll Be Doing

Join our team of over 200 Partnerships Sales Leaders and you’ll get to harness your entrepreneurial mindset, strong business and financial acumen, and commitment to achieving outstanding business development results as we add to the over 1,000 deals in 50+ countries closed in the past year alone.

From one day to the next, you’ll get the chance to:

Agree high-value deals to deliver inspiring new partner locations, leveraging your expertise to expand the IWG network in every town and city
Hunt out exciting opportunities in commercial buildings of all types across your region, pitch for new partnership opportunities, convince partners to invest anywhere from £250k to £1m+ to develop a new IWG branded centre and close out deals quickly & effectively
Showcase the value of the IWG partnership proposition to your network of B2B connections
Source ambitious partners who match our growth goals and can help drive our rapid growth through building conversions, new development locations or competitor conversions
Employ a dynamic and versatile approach to business development, tailoring it to our partners’ varying commercial needs and requirements
Actively manage your pipeline of opportunities to drive each opportunity from initial contact, through detailed commercial negotiations, all the way to a signed commercial agreement.


Carbon Neutral Workplaces

IWG’s purpose is to help everyone have a great day at work, while protecting people and the planet. We are proud to supply all our customers with carbon-neutral workplaces, and have a strong climate action plan in place to help us achieve our objective of Net Zero emissions by 2040.

Leading Employer Award

IWG is proud to be the recipient of a Leading Employer Award in 2022, 2023 and 2024. Awarded exclusively to the top 1% of employers, the accolade is testament to our diverse global workforce and the role everyone plays in bringing our purpose, culture and values to life, every single day.

Join us at https://careers.iwgplc.com/home",https://www.linkedin.com/jobs/search/?currentJobId=4319011495&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
Lemonilo,"Jakarta, Indonesia",Commercial Finance Officer ,"About the job
As a company, Lemonilo is also deeply committed to equity, inclusion, and diversity. We welcome all qualified applicants and consider them for employment regardless of gender, race, ethnicity, color, disability, political opinion, sexual orientation, age, religion, health status, or any other status protected by applicable law.

Key Responsibilities :
Risk management and internal control.
Local and group accounting policies, standards, and reporting.
Payment processing and reconciliation.
Cash forecasting and analysis.
Finance input to commercial decisions.
Financial modelling, valuation, and analysis.
Planning, target setting, and budgeting.
Performance management and appraisal.

Qualifications :
Candidate must be in the final year of study/possess at least a Bachelor’s Degree in Accounting/Finance with min GPA of 3.00.
Have strong analytical and problem-solving capabilities, a high standard of achievement, motivation, and interest.
Ability to work in a diverse and multi-ethnic team.
Strong verbal and written English communication skills.
Strong attention to detail and accuracy.
Willing to work on-site at the manufacturing facility.",https://www.linkedin.com/jobs/search/?currentJobId=4337845342&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
PT Dian Swastatika Sentosa Tbk,"Jakarta, Indonesia",Equity Research ,"About the job
PT Dian Swastatika Sentosa Tbk or its subsidiaries are looking for high potential candidates to be employed as Corporate Finance (Equity Research) with the following details:

Requirements
Bachelor’s or Master’s degree in Finance, Accounting, Economics, or a related field from a reputable university.
Minimum 5 years of experience in corporate finance, equity research, or investment analysis, preferably within the technology industry.
Proven experience in conducting financial due diligence, valuation, and industry analysis for technology-related businesses.
Strong proficiency in financial modeling, including forecasting, scenario analysis, and sensitivity modeling.
In-depth understanding of capital markets, M&A transactions, and investment structuring.
Excellent analytical, quantitative, and problem-solving skills with a strong attention to detail.
Advanced skills in Microsoft Excel, PowerPoint, and financial analysis tools.
Strong presentation and communication skills, with the ability to clearly convey complex financial concepts to non-financial stakeholders.
Able to work independently and collaboratively in a fast-paced, dynamic environment.

Job Descriptions
Conduct equity research and financial due diligence on potential investment targets, particularly in the technology sector.
Develop and maintain detailed financial models to support business valuation, scenario planning, and decision-making processes.
Analyze market trends, competitor performance, and emerging technologies to identify new investment opportunities.
Prepare and present investment proposals, reports, and pitch decks for management and board-level discussions.
Support M&A activities, including deal evaluation, financial feasibility studies, and post-merger integration analysis.
Collaborate with cross-functional teams (finance, strategy, and legal) to ensure the accuracy and completeness of financial assessments.
Monitor portfolio performance and provide insights or recommendations for optimization.
Participate in strategic planning and capital allocation discussions to support the company’s growth initiatives.",https://www.linkedin.com/jobs/search/?currentJobId=4334493719&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
MEKAR LESTARI TOURS,"Jakarta, Indonesia",Corporate Sales Specialist,"About the job
Join Our Team as a Corporate Sales Executive!
We’re looking for a passionate and results-driven individual to join our growing team.
If you have excellent communication skills, enjoy building business relationships, and thrive in achieving targets — we’d love to meet you!

📍 Requirements: • Proven
 experience in sales or corporate account management • Strong
 negotiation and presentation skills • Goal-o
riented and proactive attitude

📩 Send your CV to – [jlholidays001@gmail.com] with the subject “Corporate Sales – [Your Name]”.
Let’s gr
o
w together and make great things happen!",https://www.linkedin.com/jobs/search/?currentJobId=4337800649&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
AbiShar Consulting Services,Jakarta Metropolitan Area,Attack Surface & Risk Protection Analyst,"About the job
Placement : WFO at TB Simatupang, South Jakarta

Job Description:
Monitor and analyze changes in both internal and external attack surfaces.
Identify vulnerabilities, exposed assets, and security anomalies from various sources (web surface, deep web, dark web, and social media).
Follow up on findings from external Attack Surface Discovery (ASD) and Digital Risk Protection Services (DRPS) platforms.
Manage external incidents such as data leaks, domain abuse, phishing, and digital fraud.
Conduct domain/account takedowns in collaboration with internal and external parties.
Provide mitigation recommendations and support the Blue Team in responding to digital threats.
Perform third-party risk assessments related to digital asset exposure by partners or contractors.
Analyze digital threat trends to support strategic decision-making.

Qualifications:
Minimum of 4 years of experience in cybersecurity, including at least 2 years in penetration testing, red teaming, or digital risk protection.
Strong understanding of CVEs and common vulnerabilities.
Experienced with ASD platforms (e.g., Tenable.io, SentinelOne, Mandiant) and DRPS platforms (e.g., Group-IB, Brandefense, Cyble Vision, SOCRadar, CybelAngel, Digital Shadows).
Proficient in brand protection, domain abuse mitigation, and third-party risk management.
Skilled in incident reporting and takedown processes.
Excellent communication skills and ability to coordinate effectively with internal and external teams.",https://www.linkedin.com/jobs/search/?currentJobId=4334553454&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
BlendMedia,"Jakarta, Jakarta, Indonesia",Full Stack Engineer,"About the job
We are looking for a Full Stack Developer with strong logical reasoning, proactive mindset, and initiative. The ideal candidate has 2–3 years of development experience and is eager to expand their skills into the Salesforce ecosystem. You will collaborate with our product and business teams to deliver high-quality technology solutions while learning and growing in a fast-paced environment.

Key Responsibilities:
Design, develop, and maintain scalable web applications (frontend & backend).
Collaborate with product, business, and technical teams to understand requirements and deliver solutions.
Support integration between Salesforce and other systems.
Ensure code quality and timely delivery under pressure.
Learn and develop within the Salesforce platform through hands-on projects.

Requirements:
2–3 years of proven experience as a Full Stack Developer.
Proficiency with modern web technologies (JavaScript/Node.js, React/Angular/Vue, SQL/NoSQL, etc.).
Strong logical thinking and problem-solving skills.
Proactive, self-driven, and able to work independently as well as within a team.
Willing to learn Salesforce development.
Ability to perform effectively under pressure.

What We Offer:
Direct involvement in projects connected to the Salesforce ecosystem.
Opportunities to grow and expand your technical and business knowledge.
Supportive, collaborative, and dynamic working environment.",https://www.linkedin.com/jobs/search/?currentJobId=4337815486&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
Traders Family,"Tanjung Priok, Jakarta, Indonesia",Back End Developer,"About the job
This job is sourced from a job board. Learn More
Back End Developer akan bertanggung jawab dalam membangun dan memelihara fondasi utama platform digital perusahaan. Fokus utama peran ini adalah mengembangkan aplikasi sisi server yang efisien, aman, dan mudah di-scale untuk mendukung kebutuhan operasional bisnis.

Posisi ini akan banyak bekerja sama dengan tim front-end dan tim teknis lainnya untuk memastikan stabilitas sistem, performa optimal, serta integrasi yang lancar antar layanan dan aplikasi yang digunakan.

Key Responsibilities

Merancang, mengembangkan, dan memelihara logika sisi server serta basis data
Membangun dan mengelola RESTful API serta melakukan integrasi dengan sistem internal dan eksternal.
Mengoptimalkan performa aplikasi dan memastikan keandalan sistem.
Berkolaborasi dengan tim lintas divisi untuk merancang dan mengimplementasikan fitur baru.
Melakukan troubleshooting, debugging, dan penyelesaian masalah pada sistem secara tepat waktu.
Menjaga kualitas kode melalui dokumentasi yang baik, pengujian, serta review berkala.

Requirements

Pengalaman minimal 2 tahun sebagai Back-End Developer atau posisi serupa.
Menguasai Node.js dan PHP.
Terbiasa dengan containerization menggunakan Docker (pengalaman dengan Kubernetes menjadi nilai tambah).
Memahami proses CI/CD dan memiliki pengalaman dengan Jenkins.
Kemampuan kuat dalam MySQL, terutama dalam perancangan skema basis data.
Memahami konsep RESTful API design dan integrasinya.
Teliti, logis, dan mampu memecahkan masalah dengan cepat.
Dapat bekerja secara kolaboratif dalam lingkungan kerja yang dinamis dan cepat.
Pemahaman terhadap Golang dan message queuing (RabbitMQ) menjadi nilai tambah.

Seluruh proses rekrutmen di Traders Family tidak memungut biaya apapun.

Desired Skills and Experience
Node.js, MySQL, MariaDB, Jenkins, Docker, Kubernetes, RabbitMQ, PHP, Go / Golang",https://www.linkedin.com/jobs/search/?currentJobId=4337964737&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
PT. Champ Resto Indonesia Tbk,"Jakarta, Indonesia",General Manager Operations FnB,"About the job
Deskripsi Peran 
Ini adalah peran General Manager Operations FnB penuh waktu di lokasi Jakarta. General Manager Operations FnB akan mengawasi operasi bisnis sehari-hari, memastikan fungsi berjalan lancar dan efisiensi operasional.

Tugas dan tanggung jawab mencakup:
Penyusunan anggaran (budgeting).
Memastikan kepuasan pelanggan.
Mengembangkan rencana strategis untuk meningkatkan proses.
Mengkoordinasikan dengan berbagai departemen.
Menyelesaikan setiap masalah operasional.
Memastikan perusahaan mencapai target kinerjanya.
Mengelola performa operasional outlet dan area bisnis, termasuk sales, COGS, food cost, dan efisiensi manpower untuk mencapai target KPI operasional dan profitabilitas (P&L) sesuai target.
Menjamin konsistensi kualitas produk, layanan, dan pengalaman pelanggan (customer experience) di seluruh outlet untuk menjaga standar QSC (Quality, Service, Cleanliness) dan Tingkat kepuasan pelanggan yang tinggi.
Mengembangkan inovasi produk dan konsep menu bersama tim PDV dan Marketing sesuai tren pasar dan positioning brand untuk menghasilkan produk baru yang relevan, menguntungkan, dan memperkuat citra brand.

Kualifikasi
Mahir dalam keterampilan General Manager dan Operation Manager.
Berpengalaman di bidang Customer Service dan Team Management.
Keterampilan yang kuat dalam Budgeting dan pengawasan keuangan.
Keterampilan kepemimpinan dan komunikasi yang sangat baik.
Kemampuan untuk bekerja secara efektif di lingkungan yang serba cepat.
Gelar Sarjana (S1) di bidang Administrasi Bisnis, Manajemen, atau bidang terkait.
Pengalaman di industri restoran atau perhotelan merupakan nilai tambah.",https://www.linkedin.com/jobs/search/?currentJobId=4337934733&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
MindSoci,"Jakarta, Indonesia",Scrum Master,"About the job
Company Description
 MindSoci provides creators and teams with the tools they need to think bigger, work more efficiently, and share their ideas with the world. We empower innovation and support collaborative workflows, enabling users to scale their creativity. MindSoci is dedicated to enhancing productivity while fostering a space for inspiration and creativity. Our mission is to help individuals and teams achieve their potential and make an impact.
 Role Description
 This is a full-time hybrid role for a Scrum Master, based in Jakarta, Indonesia, with some work-from-home flexibility. The Scrum Master will facilitate sprint planning meetings, remove roadblocks, and ensure the development team adheres to Agile principles. The role includes collaborating with stakeholders to define and refine user stories, ensuring clarity and alignment for deliverables. As a Scrum Master, you will also enable the team’s continuous improvement and monitor project progress to maintain quality and efficiency.
 Qualifications
  Proficiency in Sprint Planning and managing Agile workflows
Strong Analytical Skills with an ability to identify and address challenges
Excellent Communication and interpersonal skills to collaborate with team members and stakeholders
Experience in creating, refining, and managing User Stories
Knowledge of Software Development processes and practices
Ability to foster team collaboration and maintain alignment with organizational goals
Certified Scrum Master (CSM) or other Agile certifications is a plus
Bachelor’s degree in a relevant field or equivalent experience",https://www.linkedin.com/jobs/search/?currentJobId=4334394559&keywords=Banking%20and%20Financial%20Services&origin=JOB_SEARCH_PAGE_JOB_FILTER&sortBy=DD
